x,y
0.998717,0.0385566
0.988468,0.0393287
0.968077,0.0409344
0.937752,0.0435076
0.897805,0.0472784
0.848644,0.0526179
0.790776,0.0601209
0.724793,0.0707558
0.651372,0.0861538
0.571268,0.109186
0.485302,0.145181
0.394356,0.204586
0.299363,0.308598
0.201299,0.496764
0.101168,0.796257
6.12323e-17,1
-0.101168,0.796257
-0.201299,0.496764
-0.299363,0.308598
-0.394356,0.204586
-0.485302,0.145181
-0.571268,0.109186
-0.651372,0.0861538
-0.724793,0.0707558
-0.790776,0.0601209
-0.848644,0.0526179
-0.897805,0.0472784
-0.937752,0.0435076
-0.968077,0.0409344
-0.988468,0.0393287
-0.998717,0.0385566
