x,y
-1,0.0384615
-0.997998,-11.317
-0.995996,-21.1125
-0.993994,-29.4888
-0.991992,-36.5767
-0.98999,-42.4974
-0.987988,-47.3634
-0.985986,-51.279
-0.983984,-54.3406
-0.981982,-56.6372
-0.97998,-58.2512
-0.977978,-59.2582
-0.975976,-59.7281
-0.973974,-59.7251
-0.971972,-59.3079
-0.96997,-58.5306
-0.967968,-57.4426
-0.965966,-56.0887
-0.963964,-54.5102
-0.961962,-52.7442
-0.95996,-50.8247
-0.957958,-48.7823
-0.955956,-46.6445
-0.953954,-44.4363
-0.951952,-42.1799
-0.94995,-39.8951
-0.947948,-37.5997
-0.945946,-35.3093
-0.943944,-33.0377
-0.941942,-30.7968
-0.93994,-28.5973
-0.937938,-26.448
-0.935936,-24.3566
-0.933934,-22.3297
-0.931932,-20.3724
-0.92993,-18.4893
-0.927928,-16.6837
-0.925926,-14.9581
-0.923924,-13.3145
-0.921922,-11.7539
-0.91992,-10.277
-0.917918,-8.88385
-0.915916,-7.57389
-0.913914,-6.3463
-0.911912,-5.19983
-0.90991,-4.13291
-0.907908,-3.14371
-0.905906,-2.23013
-0.903904,-1.38989
-0.901902,-0.620532
-0.8999,0.0805314
-0.897898,0.716006
-0.895896,1.28868
-0.893894,1.80139
-0.891892,2.25703
-0.88989,2.6585
-0.887888,3.00871
-0.885886,3.31055
-0.883884,3.56691
-0.881882,3.78061
-0.87988,3.95443
-0.877878,4.0911
-0.875876,4.19329
-0.873874,4.26358
-0.871872,4.30449
-0.86987,4.31844
-0.867868,4.30777
-0.865866,4.27473
-0.863864,4.22149
-0.861862,4.15009
-0.85986,4.06251
-0.857858,3.96063
-0.855856,3.84621
-0.853854,3.72093
-0.851852,3.58638
-0.84985,3.44404
-0.847848,3.29532
-0.845846,3.14152
-0.843844,2.98385
-0.841842,2.82344
-0.83984,2.66135
-0.837838,2.49853
-0.835836,2.33588
-0.833834,2.1742
-0.831832,2.01423
-0.82983,1.85664
-0.827828,1.70202
-0.825826,1.55091
-0.823824,1.40379
-0.821822,1.26106
-0.81982,1.12309
-0.817818,0.990195
-0.815816,0.862624
-0.813814,0.740594
-0.811812,0.624275
-0.80981,0.513796
-0.807808,0.409248
-0.805806,0.310689
-0.803804,0.218142
-0.801802,0.131601
-0.7998,0.0510341
-0.797798,-0.0236183
-0.795796,-0.0924371
-0.793794,-0.155524
-0.791792,-0.213
-0.78979,-0.265002
-0.787788,-0.311682
-0.785786,-0.353205
-0.783784,-0.389746
-0.781782,-0.421492
-0.77978,-0.448634
-0.777778,-0.471374
-0.775776,-0.489917
-0.773774,-0.504471
-0.771772,-0.515248
-0.76977,-0.522462
-0.767768,-0.526327
-0.765766,-0.527056
-0.763764,-0.524861
-0.761762,-0.519953
-0.75976,-0.512539
-0.757758,-0.502822
-0.755756,-0.491003
-0.753754,-0.477275
-0.751752,-0.46183
-0.74975,-0.444852
-0.747748,-0.426518
-0.745746,-0.407001
-0.743744,-0.386466
-0.741742,-0.365072
-0.73974,-0.342971
-0.737738,-0.320307
-0.735736,-0.297217
-0.733734,-0.273831
-0.731732,-0.250273
-0.72973,-0.226657
-0.727728,-0.203091
-0.725726,-0.179676
-0.723724,-0.156505
-0.721722,-0.133665
-0.71972,-0.111235
-0.717718,-0.089288
-0.715716,-0.0678892
-0.713714,-0.0470981
-0.711712,-0.0269677
-0.70971,-0.00754465
-0.707708,0.01113
-0.705706,0.0290213
-0.703704,0.0460994
-0.701702,0.0623401
-0.6997,0.077724
-0.697698,0.0922366
-0.695696,0.105868
-0.693694,0.118612
-0.691692,0.130467
-0.68969,0.141436
-0.687688,0.151525
-0.685686,0.160742
-0.683684,0.169099
-0.681682,0.176612
-0.67968,0.183298
-0.677678,0.189178
-0.675676,0.194273
-0.673674,0.198608
-0.671672,0.20221
-0.66967,0.205104
-0.667668,0.207321
-0.665666,0.20889
-0.663664,0.209842
